Order_ID,Book_Title,Author,Genre,Customer_Age,Customer_Gender,Country,Purchase_Date,Units_Sold,Sale_Price,Cost_Price,Revenue,Cost,Profit,Profit_Margin
1000,Computer Vision Essentials,Sarah Johnson,Beginner,64,Male,Australia,2024-08-08,10,32.97,14.8,329.7,148.0,181.7,55.11
1001,AI Ethics Handbook,Michael Chen,Advanced,37,Male,USA,2024-09-29,2,57.15,25.01,114.3,50.02,64.28,56.24
1002,Computer Vision Essentials,Michael Chen,Advanced,70,Female,USA,2024-02-17,4,44.94,21.46,179.76,85.84,93.92,52.25
1003,AI Basics,David Lee,Business,65,Male,UK,2024-11-26,8,44.6,27.41,356.8,219.28,137.52,38.54
1004,Neural Networks Explained,Sophia Davis,Advanced,19,Male,USA,2024-12-29,4,51.21,32.77,204.84,131.08,73.76,36.01
1005,Computer Vision Essentials,Sophia Davis,Beginner,20,Male,UK,2024-03-18,7,34.51,20.17,241.57,141.19,100.38,41.55
1006,AI Automation,Sophia Davis,Technical,42,Female,UK,2024-05-23,10,59.99,39.43,599.9,394.3,205.6,34.27
1007,Natural Language Processing,Sarah Johnson,Beginner,58,Male,Canada,2024-04-07,4,26.98,11.37,107.92,45.48,62.44,57.86
1008,Deep Learning Mastery,Emma Brown,Beginner,44,Male,USA,2024-07-31,4,37.2,17.79,148.8,71.16,77.64,52.18
1009,AI Automation,John Smith,Business,46,Male,UK,2024-10-21,10,35.61,15.45,356.1,154.5,201.6,56.61
1010,Deep Learning Mastery,Sophia Davis,Business,30,Female,Germany,2024-03-24,8,46.95,31.13,375.6,249.04,126.56,33.7
1011,AI Basics,Sarah Johnson,Business,39,Female,Germany,2024-07-17,10,52.56,21.57,525.6,215.7,309.9,58.96
1012,Python for AI,Sophia Davis,Beginner,42,Male,UK,2024-12-22,5,39.31,18.12,196.55,90.6,105.95,53.9
1013,AI in Business,John Smith,Beginner,47,Female,Germany,2024-01-09,1,21.47,8.68,21.47,8.68,12.79,59.57
1014,Machine Learning Guide,John Smith,Beginner,40,Male,Australia,2024-10-23,4,15.19,6.88,60.76,27.52,33.24,54.71
1015,AI Ethics Handbook,Sophia Davis,Business,43,Male,Australia,2024-06-27,5,44.8,27.0,224.0,135.0,89.0,39.73
1016,AI Automation,Sophia Davis,Beginner,23,Male,Canada,2024-04-07,1,19.19,13.37,19.19,13.37,5.82,30.33
